freq,B,C,D-1,D-2
799.3495,88.6283,83.4598,123.4766,130.7716
800.3138,89.1228,84.8941,122.4589,129.0834
801.278,89.769,86.3298,121.2545,127.2834
802.2422,90.5592,87.7081,119.7589,125.2295
803.2065,91.3787,88.9382,118.043,122.9779
804.1707,92.0948,89.9725,116.2975,120.7249
805.1349,92.6281,90.8412,114.7046,118.6684
806.0992,92.9924,91.6278,113.3623,116.9172
807.0634,93.2639,92.4184,112.2726,115.4764
808.0276,93.5346,93.2497,111.3807,114.2873
808.9919,93.8622,94.0925,110.6163,113.2738
809.9561,94.2461,94.8687,109.9393,112.3825
810.9203,94.6368,95.503,109.3444,111.601
811.8846,94.9706,95.9665,108.8523,110.942
812.8488,95.2119,96.2915,108.4829,110.4214
813.813,95.3648,96.5445,108.2351,110.0376
814.7773,95.4642,96.7923,108.0787,109.7605
815.7415,95.5495,97.0675,107.9657,109.5423
816.7057,95.6411,97.3604,107.8459,109.333
817.67,95.7277,97.6325,107.6882,109.0993
818.6342,95.776,97.8449,107.492,108.8375
819.5984,95.7542,97.9861,107.2808,108.5664
820.5627,95.6509,98.0769,107.0857,108.3139
821.5269,95.4874,98.1583,106.9298,108.0988
822.4911,95.309,98.2682,106.8147,107.9194
823.4554,95.1676,98.4214,106.7252,107.7577
824.4196,95.1024,98.6031,106.636,107.5879
825.3839,95.1281,98.7795,106.5292,107.3926
826.3481,95.2312,98.9178,106.3996,107.17
827.3123,95.3807,99.0048,106.2563,106.9346
828.2766,95.5433,99.0538,106.1147,106.7075
829.2408,95.691,99.0939,105.9864,106.5051
830.205,95.8005,99.1531,105.8712,106.3297
831.1693,95.8485,99.2435,105.7595,106.1708
832.1335,95.8076,99.3547,105.637,106.0105
833.0977,95.6509,99.4594,105.495,105.8349
834.062,95.3659,99.5281,105.3355,105.64
835.0262,94.9692,99.5448,105.1701,105.4335
835.9904,94.512,99.5096,105.0142,105.2301
836.9547,94.0736,99.4353,104.8806,105.0444
837.9189,93.7445,99.3363,104.7727,104.8835
838.8831,93.6002,99.2199,104.6865,104.7471
839.8474,93.6773,99.0845,104.6115,104.629
840.8116,93.9597,98.9254,104.5399,104.5222
841.7758,94.3818,98.7445,104.4679,104.4236
842.7401,94.8487,98.5559,104.3975,104.3339
843.7043,95.2653,98.3836,104.3332,104.2563
844.6685,95.5585,98.2503,104.2779,104.1932
845.6328,95.6873,98.1629,104.2295,104.1417
846.597,95.6413,98.1011,104.1818,104.0951
847.5612,95.4339,98.0153,104.1259,104.043
848.5255,95.0958,97.8371,104.0564,103.9779
849.4897,94.6715,97.5,103.9731,103.8972
850.4539,94.218,96.9636,103.8809,103.8034
851.4182,93.8024,96.23,103.7876,103.7035
852.3824,93.4973,95.3492,103.6996,103.605
853.3466,93.3695,94.413,103.6194,103.5121
854.3109,93.4659,93.5401,103.5456,103.4257
855.2751,93.7988,92.8549,103.4741,103.3436
856.2393,94.3388,92.4636,103.4019,103.2634
857.2036,95.0191,92.4322,103.329,103.185
858.1678,95.7547,92.774,103.2579,103.1096
859.132,96.4653,93.4495,103.1924,103.0401
860.0963,97.0938,94.3763,103.1348,102.9787
861.0605,97.6133,95.4464,103.0844,102.9247
862.0247,98.0224,96.5439,103.0381,102.8758
862.989,98.335,97.5639,102.9914,102.828
863.9532,98.5688,98.4293,102.9412,102.7783
864.9174,98.7386,99.1025,102.8877,102.7263
865.8817,98.8556,99.5875,102.8335,102.6739
866.8459,98.9298,99.9194,102.7829,102.6242
867.8101,98.9728,100.1472,102.7395,102.5799
868.7744,98.9991,100.3159,102.7044,102.5418
869.7386,99.0226,100.4541,102.6767,102.5083
870.7028,99.053,100.5723,102.6535,102.4763
871.6671,99.092,100.6679,102.6324,102.4432
872.6313,99.1339,100.7357,102.6118,102.4079
873.5955,99.1695,100.7758,102.591,102.3705
874.5598,99.1911,100.7964,102.5694,102.332
875.524,99.1974,100.81,102.5457,102.2929
876.4882,99.1933,100.8284,102.5173,102.2519
877.4525,99.1879,100.8558,102.4811,102.2068
878.4167,99.1886,100.8889,102.4345,102.155
879.3809,99.1983,100.9192,102.3774,102.0954
880.3452,99.2138,100.9393,102.3125,102.0294
881.3094,99.2291,100.9478,102.2436,101.9597
882.2736,99.2385,100.9497,102.1748,101.8902
883.2379,99.2409,100.9531,102.1088,101.8239
884.2021,99.2399,100.9649,102.0454,101.7612
885.1663,99.2414,100.9858,101.9829,101.7012
886.1306,99.2499,101.0104,101.9192,101.6413
887.0948,99.2658,101.0301,101.8537,101.5796
888.059,99.2847,101.0382,101.7876,101.516
889.0233,99.3002,101.0334,101.7237,101.4518
889.9875,99.3072,101.021,101.6648,101.3892
890.9517,99.305,101.0091,101.6123,101.3307
891.916,99.2968,101.0044,101.5652,101.2769
