freq,B2-1,B2-2,C
799.3495,116.5571,108.0514,83.4598
800.3138,116.5235,108.1595,84.8941
801.278,116.3296,108.1534,86.3298
802.2422,115.9876,108.0343,87.7081
803.2065,115.5577,107.8117,88.9382
804.1707,115.0981,107.5076,89.9725
805.1349,114.6419,107.1339,90.8412
806.0992,114.1874,106.7022,91.6278
807.0634,113.714,106.2238,92.4184
808.0276,113.2103,105.73,93.2497
808.9919,112.6845,105.2619,94.0925
809.9561,112.1717,104.8668,94.8687
810.9203,111.7078,104.5697,95.503
811.8846,111.3105,104.3673,95.9665
812.8488,110.975,104.2295,96.2915
813.813,110.6844,104.1223,96.5445
814.7773,110.4215,104.0178,96.7923
815.7415,110.1823,103.9099,97.0675
816.7057,109.9778,103.8051,97.3604
817.67,109.8222,103.7172,97.6325
818.6342,109.7211,103.6515,97.8449
819.5984,109.6607,103.6023,97.9861
820.5627,109.6131,103.553,98.0769
821.5269,109.5478,103.4893,98.1583
822.4911,109.4401,103.4015,98.2682
823.4554,109.2726,103.2872,98.4214
824.4196,109.0248,103.1393,98.6031
825.3839,108.6597,102.9341,98.7795
826.3481,108.1071,102.6208,98.9178
827.3123,107.2716,102.1273,99.0048
828.2766,106.0564,101.3808,99.0538
829.2408,104.4066,100.3406,99.0939
830.205,102.3527,99.0271,99.1531
831.1693,100.0433,97.5434,99.2435
832.1335,97.7447,96.0711,99.3547
833.0977,95.7909,94.8341,99.4594
834.062,94.4939,94.0361,99.5281
835.0262,94.051,93.8017,99.5448
835.9904,94.4954,94.1446,99.5096
836.9547,95.7034,94.9772,99.4353
837.9189,97.4387,96.1403,99.3363
838.8831,99.4158,97.4485,99.2199
839.8474,101.3584,98.7243,99.0845
840.8116,103.0507,99.8323,98.9254
841.7758,104.3686,100.6965,98.7445
842.7401,105.2852,101.3031,98.5559
843.7043,105.8488,101.6852,98.3836
844.6685,106.1478,101.9016,98.2503
845.6328,106.2745,102.0123,98.1629
846.597,106.3055,102.0682,98.1011
847.5612,106.293,102.1024,98.0153
848.5255,106.2691,102.1346,97.8371
849.4897,106.2508,102.1724,97.5
850.4539,106.2444,102.2161,96.9636
851.4182,106.2504,102.2613,96.23
852.3824,106.2637,102.3022,95.3492
853.3466,106.276,102.332,94.413
854.3109,106.2775,102.3458,93.5401
855.2751,106.2604,102.3411,92.8549
856.2393,106.2212,102.319,92.4636
857.2036,106.1619,102.2836,92.4322
858.1678,106.0879,102.2407,92.774
859.132,106.006,102.1957,93.4495
860.0963,105.922,102.1528,94.3763
861.0605,105.839,102.1137,95.4464
862.0247,105.7584,102.0795,96.5439
862.989,105.6809,102.0496,97.5639
863.9532,105.608,102.0241,98.4293
864.9174,105.5418,102.0025,99.1025
865.8817,105.4835,101.9845,99.5875
866.8459,105.4336,101.9698,99.9194
867.8101,105.3909,101.9584,100.1472
868.7744,105.3531,101.9504,100.3159
869.7386,105.3183,101.9469,100.4541
870.7028,105.285,101.9485,100.5723
871.6671,105.2538,101.9562,100.6679
872.6313,105.2251,101.9688,100.7357
873.5955,105.1986,101.9835,100.7758
874.5598,105.1721,101.9959,100.7964
875.524,105.1421,102.0016,100.81
876.4882,105.1048,101.9969,100.8284
877.4525,105.0576,101.9812,100.8558
878.4167,105.0004,101.9557,100.8889
879.3809,104.9364,101.9246,100.9192
880.3452,104.8703,101.892,100.9393
881.3094,104.8063,101.8611,100.9478
882.2736,104.7472,101.8332,100.9497
883.2379,104.6936,101.808,100.9531
884.2021,104.6442,101.7836,100.9649
885.1663,104.5973,101.7588,100.9858
886.1306,104.5519,101.7331,101.0104
887.0948,104.5081,101.7073,101.0301
888.059,104.4667,101.6825,101.0382
889.0233,104.4283,101.6601,101.0334
889.9875,104.3928,101.6409,101.021
890.9517,104.3596,101.6256,101.0091
891.916,104.3279,101.6144,101.0044
892.8802,104.2975,101.6079,101.0081
893.8444,104.2687,101.6064,101.0164
894.8087,104.2426,101.6099,101.0219
895.7729,104.2194,101.617,101.019
896.7371,104.1983,101.6255,101.0071
897.7014,104.1772,101.632,100.991
898.6656,104.1531,101.6336,100.9776
899.6298,104.1234,101.6285,100.9723
900.5941,104.0872,101.6168,100.9759
901.5583,104.0451,101.6002,100.9837
902.5225,103.9993,101.5812,100.9882
903.4868,103.952,101.5619,100.9836
904.451,103.9049,101.5432,100.9685
905.4152,103.8578,101.5243,100.9467
906.3795,103.8102,101.5043,100.9244
907.3437,103.7614,101.482,100.907
908.3079,103.712,101.4579,100.8959
909.2722,103.6633,101.4333,100.8877
910.2364,103.6177,101.4105,100.8768
911.2006,103.577,101.3914,100.8588
912.1649,103.5413,101.3767,100.8327
913.1291,103.5092,101.3659,100.802
914.0933,103.4782,101.3572,100.7725
915.0576,103.4458,101.349,100.7488
916.0218,103.4106,101.3401,100.7318
916.986,103.3727,101.3301,100.7181
917.9503,103.3333,101.3194,100.7016
918.9145,103.2936,101.3081,100.6759
919.8787,103.2542,101.2958,100.6367
920.843,103.2142,101.2819,100.5824
921.8072,103.1728,101.2654,100.5124
922.7714,103.129,101.2461,100.4262
923.7357,103.083,101.2247,100.322
924.6999,103.036,101.2024,100.199
925.6641,102.9897,101.1811,100.0597
926.6284,102.945,101.1615,99.913
927.5926,102.9015,101.1433,99.7747
928.5568,102.8574,101.1251,99.6648
929.5211,102.8106,101.105,99.6013
930.4853,102.7595,101.0817,99.5942
931.4495,102.7042,101.055,99.6406
932.4138,102.6465,101.026,99.7238
933.378,102.5893,100.9968,99.8172
934.3422,102.5352,100.9692,99.8921
935.3065,102.4852,100.9441,99.9258
936.2707,102.4391,100.9216,99.9078
937.2349,102.3955,100.9011,99.8425
938.1992,102.353,100.8817,99.7464
939.1634,102.3112,100.8635,99.6432
940.1276,102.271,100.8466,99.5577
941.0919,102.2339,100.8319,99.5103
942.0561,102.2011,100.8198,99.5134
943.0203,102.1725,100.8098,99.5704
943.9846,102.1468,100.801,99.6758
944.9488,102.1219,100.792,99.8175
945.913,102.0962,100.782,99.9789
946.8773,102.0689,100.7709,100.1419
947.8415,102.0406,100.7594,100.2902
948.8057,102.0124,100.7484,100.4119
949.77,101.9852,100.7382,100.5017
950.7342,101.9587,100.7283,100.5606
951.6984,101.931,100.7172,100.5951
952.6627,101.8998,100.7033,100.6136
953.6269,101.8624,100.6847,100.6236
954.5911,101.817,100.6604,100.6296
955.5554,101.763,100.6302,100.6325
956.5196,101.7006,100.5943,100.6313
957.4838,101.6306,100.5531,100.6243
958.4481,101.5542,100.5075,100.6116
959.4123,101.4735,100.4586,100.5948
960.3765,101.3918,100.4088,100.5763
961.3408,101.3138,100.3614,100.5583
962.305,101.2458,100.3209,100.5413
963.2692,101.1936,100.2915,100.5245
964.2335,101.161,100.2761,100.5067
965.1977,101.1481,100.2748,100.488
966.1619,101.1503,100.2843,100.4704
967.1262,101.1595,100.299,100.4576
968.0904,101.1664,100.3124,100.4533
969.0546,101.1627,100.3187,100.4594
970.0189,101.1436,100.3146,100.4746
970.9831,101.1084,100.2992,100.4945
971.9473,101.0598,100.2742,100.5132
972.9116,101.0018,100.2423,100.5257
973.8758,100.9387,100.2062,100.5294
974.84,100.8729,100.1676,100.5255
975.8043,100.8056,100.1276,100.5168
976.7685,100.7371,100.0867,100.5071
977.7327,100.6675,100.0453,100.4984
978.697,100.5971,100.0041,100.4905
979.6612,100.5261,99.9631,100.4815
980.6254,100.4537,99.9217,100.4691
981.5897,100.3774,99.878,100.4524
982.5539,100.294,99.8294,100.4326
983.5181,100.1997,99.7731,100.4122
984.4824,100.0921,99.7071,100.3947
985.4467,99.9705,99.6311,100.3822
986.4109,99.836,99.5461,100.3759
987.3751,99.6907,99.4535,100.375
988.3394,99.5359,99.3543,100.3784
989.3036,99.3708,99.2481,100.385
990.2678,99.1929,99.1331,100.394
991.2321,98.9981,99.0065,100.4044
992.1963,98.7829,98.8657,100.4141
993.1605,98.5447,98.7093,100.4198
994.1248,98.2827,98.5366,100.4174
995.089,97.9967,98.3476,100.4035
996.0532,97.6861,98.1418,100.3768
997.0175,97.3488,97.9178,100.3395
997.9817,96.9822,97.6737,100.2971
998.9459,96.5847,97.4081,100.2567
999.9102,96.1583,97.1222,100.2249
1000.874,95.7107,96.821,100.206
1001.839,95.2559,96.514,100.2011
1002.803,94.8133,96.2143,100.2081
1003.767,94.4057,95.9374,100.2236
1004.731,94.0561,95.6994,100.2442
1005.696,93.7863,95.5152,100.2673
1006.66,93.6148,95.3978,100.2913
1007.624,93.5557,95.3572,100.3147
1008.588,93.6167,95.3989,100.3355
1009.552,93.7962,95.522,100.3508
1010.517,94.0808,95.7173,100.3577
1011.481,94.4438,95.9664,100.3545
1012.445,94.848,96.2436,100.3417
1013.409,95.2515,96.52,100.322
1014.374,95.6164,96.7696,100.3003
1015.338,95.9178,96.9751,100.2811
