freq,B,4-1,1-1,1-4,C
799.3495,88.6283,93.707,89.7102,83.5083,83.4598
800.3138,89.1228,94.6857,90.1861,85.0082,84.8941
801.278,89.769,95.6481,90.7198,86.5498,86.3298
802.2422,90.5592,96.5746,91.2434,88.0662,87.7081
803.2065,91.3787,97.4073,91.6769,89.4356,88.9382
804.1707,92.0948,98.1029,91.979,90.5782,89.9725
805.1349,92.6281,98.6674,92.1704,91.505,90.8412
806.0992,92.9924,99.1487,92.3146,92.3022,91.6278
807.0634,93.2639,99.6072,92.482,93.0696,92.4184
808.0276,93.5346,100.0794,92.7099,93.8669,93.2497
808.9919,93.8622,100.564,92.9913,94.6796,94.0925
809.9561,94.2461,101.0202,93.2742,95.4349,94.8687
810.9203,94.6368,101.3967,93.499,96.0506,95.503
811.8846,94.9706,101.6591,93.6278,96.4846,95.9665
812.8488,95.2119,101.8084,93.665,96.7614,96.2915
813.813,95.3648,101.8696,93.641,96.949,96.5445
814.7773,95.4642,101.8789,93.5977,97.127,96.7923
815.7415,95.5495,101.8605,93.5617,97.3454,97.0675
816.7057,95.6411,101.8223,93.536,97.6095,97.3604
817.67,95.7277,101.7561,93.5006,97.8845,97.6325
818.6342,95.776,101.6534,93.4323,98.1236,97.8449
819.5984,95.7542,101.5157,93.3188,98.2966,97.9861
820.5627,95.6509,101.3626,93.1711,98.4061,98.0769
821.5269,95.4874,101.2252,93.0161,98.4829,98.1583
822.4911,95.309,101.1376,92.8887,98.565,98.2682
823.4554,95.1676,101.1221,92.8137,98.6772,98.4214
824.4196,95.1024,101.181,92.7985,98.8188,98.6031
825.3839,95.1281,101.2956,92.8298,98.9672,98.7795
826.3481,95.2312,101.4304,92.8819,99.0938,98.9178
827.3123,95.3807,101.5449,92.9263,99.1806,99.0048
828.2766,95.5433,101.6051,92.9436,99.2298,99.0538
829.2408,95.691,101.5844,92.922,99.2586,99.0939
830.205,95.8005,101.4647,92.858,99.2868,99.1531
831.1693,95.8485,101.2339,92.7493,99.3227,99.2435
832.1335,95.8076,100.8888,92.5955,99.3572,99.3547
833.0977,95.6509,100.44,92.399,99.3687,99.4594
834.062,95.3659,99.9184,92.1735,99.336,99.5281
835.0262,94.9692,99.3754,91.9454,99.2531,99.5448
835.9904,94.512,98.8761,91.751,99.1322,99.5096
836.9547,94.0736,98.4859,91.6266,98.9993,99.4353
837.9189,93.7445,98.2574,91.5991,98.8828,99.3363
838.8831,93.6002,98.2157,91.6745,98.8003,99.2199
839.8474,93.6773,98.3508,91.8344,98.7528,99.0845
840.8116,93.9597,98.6153,92.039,98.7275,98.9254
841.7758,94.3818,98.9352,92.2399,98.7064,98.7445
842.7401,94.8487,99.2265,92.3937,98.677,98.5559
843.7043,95.2653,99.4152,92.4734,98.6367,98.3836
844.6685,95.5585,99.4479,92.4692,98.5885,98.2503
845.6328,95.6873,99.297,92.3844,98.5327,98.1629
846.597,95.6413,98.9595,92.2264,98.4562,98.1011
847.5612,95.4339,98.4553,92.0025,98.3288,98.0153
848.5255,95.0958,97.8241,91.7187,98.1098,97.8371
849.4897,94.6715,97.1238,91.386,97.7621,97.5
850.4539,94.218,96.4243,91.0256,97.2697,96.9636
851.4182,93.8024,95.8017,90.6727,96.6484,96.23
852.3824,93.4973,95.3288,90.3738,95.9491,95.3492
853.3466,93.3695,95.0671,90.181,95.25,94.413
854.3109,93.4659,95.0572,90.14,94.6434,93.5401
855.2751,93.7988,95.311,90.2795,94.218,92.8549
856.2393,94.3388,95.8076,90.6025,94.0409,92.4636
857.2036,95.0191,96.4973,91.0864,94.1455,92.4322
858.1678,95.7547,97.3128,91.6887,94.526,92.774
859.132,96.4653,98.1845,92.358,95.1419,93.4495
860.0963,97.0938,99.0515,93.0433,95.928,94.3763
861.0605,97.6133,99.8679,93.7009,96.8062,95.4464
862.0247,98.0224,100.6014,94.2955,97.6957,96.5439
862.989,98.335,101.2318,94.8012,98.5234,97.5639
863.9532,98.5688,101.7481,95.2019,99.2343,98.4293
864.9174,98.7386,102.1494,95.4942,99.7991,99.1025
865.8817,98.8556,102.4445,95.6871,100.2176,99.5875
866.8459,98.9298,102.6511,95.8001,100.5126,99.9194
867.8101,98.9728,102.7912,95.8576,100.7193,100.1472
868.7744,98.9991,102.887,95.8828,100.8717,100.3159
869.7386,99.0226,102.9552,95.8923,100.9935,100.4541
870.7028,99.053,103.0054,95.8943,101.0946,100.5723
871.6671,99.092,103.0404,95.8891,101.175,100.6679
872.6313,99.1339,103.0595,95.8745,101.2315,100.7357
873.5955,99.1695,103.0617,95.8489,101.2644,100.7758
874.5598,99.1911,103.0491,95.8144,101.2802,100.7964
875.524,99.1974,103.0261,95.7756,101.2894,100.81
876.4882,99.1933,102.9991,95.7383,101.3019,100.8284
877.4525,99.1879,102.9726,95.7056,101.322,100.8558
878.4167,99.1886,102.9487,95.6775,101.347,100.8889
879.3809,99.1983,102.9258,95.6502,101.3697,100.9192
880.3452,99.2138,102.9018,95.6202,101.3836,100.9393
881.3094,99.2291,102.8751,95.586,101.3867,100.9478
882.2736,99.2385,102.8465,95.5495,101.3832,100.9497
883.2379,99.2409,102.8189,95.5151,101.3809,100.9531
884.2021,99.2399,102.7957,95.4876,101.3869,100.9649
885.1663,99.2414,102.7784,95.4685,101.403,100.9858
886.1306,99.2499,102.7657,95.4558,101.4248,101.0104
887.0948,99.2658,102.7537,95.444,101.4441,101.0301
888.059,99.2847,102.7375,95.4272,101.4531,101.0382
889.0233,99.3002,102.7139,95.4017,101.4492,101.0334
889.9875,99.3072,102.6828,95.3677,101.4354,101.021
890.9517,99.305,102.6463,95.3286,101.4188,101.0091
891.916,99.2968,102.6084,95.2888,101.4062,101.0044
892.8802,99.2885,102.5716,95.2515,101.4005,101.0081
893.8444,99.2848,102.5367,95.2172,101.399,101.0164
894.8087,99.2865,102.5024,95.1837,101.3956,101.0219
895.7729,99.2907,102.4665,95.1485,101.3843,101.019
896.7371,99.2927,102.4279,95.1104,101.3635,101.0071
897.7014,99.2892,102.3878,95.071,101.3366,100.991
898.6656,99.2803,102.349,95.0332,101.3105,100.9776
899.6298,99.2698,102.3148,95.0005,101.2918,100.9723
900.5941,99.2626,102.2866,94.9738,101.2833,100.9759
901.5583,99.262,102.2639,94.9511,101.2824,100.9837
902.5225,99.267,102.243,94.928,101.2827,100.9882
903.4868,99.2732,102.2199,94.8996,101.2777,100.9836
904.451,99.2743,102.1912,94.8629,101.2637,100.9685
905.4152,99.2663,102.1562,94.8183,101.2419,100.9467
906.3795,99.2489,102.1162,94.7684,101.2169,100.9244
907.3437,99.2261,102.0743,94.7167,101.1939,100.907
908.3079,99.2041,102.0327,94.6655,101.1756,100.8959
909.2722,99.1877,101.9925,94.6146,101.1605,100.8877
910.2364,99.1786,101.9528,94.5614,101.1446,100.8768
911.2006,99.1745,101.9121,94.5028,101.1235,100.8588
912.1649,99.1709,101.8691,94.4364,101.0951,100.8327
913.1291,99.1644,101.8241,94.3625,101.061,100.802
914.0933,99.154,101.7787,94.2827,101.0254,100.7725
915.0576,99.1422,101.7351,94.1994,100.9922,100.7488
916.0218,99.1331,101.6948,94.1141,100.9633,100.7318
916.986,99.1295,101.6573,94.0261,100.9363,100.7181
917.9503,99.1318,101.6204,93.9329,100.9063,100.7016
918.9145,99.1368,101.581,93.8322,100.8678,100.6759
919.8787,99.1401,101.5366,93.7229,100.8172,100.6367
920.843,99.1384,101.486,93.6071,100.7532,100.5824
921.8072,99.1309,101.4297,93.4894,100.677,100.5124
922.7714,99.1203,101.3698,93.3767,100.5905,100.4262
923.7357,99.1105,101.3083,93.2766,100.4949,100.322
924.6999,99.1046,101.2471,93.1962,100.3913,100.199
925.6641,99.1031,101.1876,93.1411,100.2821,100.0597
926.6284,99.1032,101.1308,93.1158,100.1728,99.913
927.5926,99.1012,101.0784,93.1226,100.0733,99.7747
928.5568,99.0942,101.0323,93.1612,99.9962,99.6648
929.5211,99.0818,100.9942,93.2278,99.953,99.6013
930.4853,99.0665,100.9649,93.314,99.9503,99.5942
931.4495,99.0523,100.9429,93.4064,99.9852,99.6406
932.4138,99.042,100.9243,93.489,100.0448,99.7238
933.378,99.0358,100.9037,93.5462,100.1093,99.8172
934.3422,99.0314,100.876,93.5677,100.1572,99.8921
935.3065,99.0248,100.8378,93.5514,100.172,99.9258
936.2707,99.0132,100.7892,93.5052,100.1472,99.9078
937.2349,98.9962,100.7329,93.4448,100.0876,99.8425
938.1992,98.9758,100.6736,93.3896,100.0073,99.7464
939.1634,98.9553,100.6157,93.3567,99.9252,99.6432
940.1276,98.9369,100.5618,93.3568,99.8596,99.5577
941.0919,98.9203,100.5118,93.3917,99.8246,99.5103
942.0561,98.9026,100.4632,93.455,99.8271,99.5134
943.0203,98.8796,100.413,93.5348,99.8674,99.5704
943.9846,98.8485,100.3585,93.6179,99.9398,99.6758
944.9488,98.8089,100.299,93.6931,100.0348,99.8175
945.913,98.7636,100.2356,93.7529,100.1409,99.9789
946.8773,98.717,100.1711,93.7939,100.2463,100.1419
947.8415,98.6724,100.1083,93.816,100.3405,100.2902
948.8057,98.6309,100.0491,93.8205,100.4155,100.4119
949.77,98.5904,99.9933,93.8097,100.4675,100.5017
950.7342,98.5461,99.9369,93.7853,100.4967,100.5606
951.6984,98.4921,99.8721,93.7479,100.5065,100.5951
952.6627,98.4218,99.7864,93.6967,100.5013,100.6136
953.6269,98.3286,99.6646,93.6288,100.4842,100.6236
954.5911,98.205,99.4908,93.5408,100.4556,100.6296
955.5554,98.0425,99.2532,93.4294,100.413,100.6325
956.5196,97.8345,98.9489,93.2945,100.3535,100.6313
957.4838,97.5792,98.589,93.1413,100.2754,100.6243
958.4481,97.2852,98.2003,92.9819,100.1817,100.6116
959.4123,96.9744,97.8236,92.8349,100.0803,100.5948
960.3765,96.6825,97.5073,92.7219,99.9833,100.5763
961.3408,96.453,97.2986,92.6637,99.9039,100.5583
962.305,96.3288,97.2322,92.6744,99.8535,100.5413
963.2692,96.3397,97.3227,92.7577,99.8386,100.5245
964.2335,96.494,97.5599,92.905,99.8595,100.5067
965.1977,96.7744,97.9111,93.0976,99.9113,100.488
966.1619,97.1421,98.3284,93.3105,99.9855,100.4704
967.1262,97.5462,98.7601,93.5186,100.0722,100.4576
968.0904,97.9368,99.1609,93.7011,100.1621,100.4533
969.0546,98.2754,99.4999,93.8451,100.2475,100.4594
970.0189,98.5406,99.7624,93.9455,100.3224,100.4746
970.9831,98.728,99.9486,94.0039,100.3825,100.4945
971.9473,98.8456,100.0685,94.0262,100.4253,100.5132
972.9116,98.9073,100.1367,94.0205,100.45,100.5257
973.8758,98.9274,100.1674,93.995,100.4583,100.5294
974.84,98.9179,100.1726,93.9578,100.4536,100.5255
975.8043,98.8883,100.161,93.9159,100.4407,100.5168
976.7685,98.8476,100.1392,93.8752,100.4241,100.5071
977.7327,98.8048,100.1129,93.8403,100.4074,100.4984
978.697,98.7694,100.0866,93.8137,100.3924,100.4905
979.6612,98.7492,100.064,93.7955,100.3792,100.4815
980.6254,98.7479,100.047,93.7842,100.367,100.4691
981.5897,98.7646,100.0351,93.7766,100.355,100.4524
982.5539,98.7933,100.0266,93.7695,100.3432,100.4326
983.5181,98.8261,100.0183,93.7602,100.3322,100.4122
984.4824,98.8557,100.0082,93.7474,100.3232,100.3947
985.4467,98.8776,99.9949,93.7311,100.3171,100.3822
986.4109,98.891,99.979,93.7122,100.3141,100.3759
987.3751,98.8973,99.9615,93.6914,100.3137,100.375
988.3394,98.8983,99.9436,93.6693,100.3147,100.3784
989.3036,98.8951,99.9254,93.6455,100.3163,100.385
990.2678,98.8869,99.9058,93.6193,100.3176,100.394
991.2321,98.8726,99.8831,93.5892,100.3177,100.4044
992.1963,98.8517,99.8557,93.5543,100.3154,100.4141
993.1605,98.8256,99.8229,93.5136,100.3088,100.4198
994.1248,98.7968,99.7851,93.4669,100.2956,100.4174
995.089,98.7683,99.7435,93.4147,100.2739,100.4035
996.0532,98.741,99.6993,93.3584,100.2433,100.3768
997.0175,98.7138,99.6535,93.3008,100.2055,100.3395
997.9817,98.684,99.6063,93.2454,100.1643,100.2971
998.9459,98.6486,99.5574,93.1962,100.1247,100.2567
999.9102,98.6065,99.5072,93.1568,100.0916,100.2249
1000.874,98.56,99.4568,93.1296,100.0686,100.206
1001.839,98.5133,99.408,93.1145,100.0568,100.2011
1002.803,98.4713,99.3628,93.1087,100.0547,100.2081
1003.767,98.4364,99.3221,93.1073,100.0596,100.2236
1004.731,98.4077,99.2853,93.1045,100.0678,100.2442
1005.696,98.3808,99.25,93.0952,100.0761,100.2673
1006.66,98.3503,99.2132,93.076,100.0821,100.2913
1007.624,98.312,99.1717,93.0459,100.0843,100.3147
1008.588,98.2642,99.1236,93.0051,100.0813,100.3355
1009.552,98.2068,99.0666,92.9539,100.0711,100.3508
1010.517,98.1384,98.9971,92.8913,100.0515,100.3577
1011.481,98.0526,98.9078,92.8139,100.0195,100.3545
1012.445,97.9368,98.7866,92.7169,99.9723,100.3417
1013.409,97.7744,98.6185,92.5963,99.908,100.322
1014.374,97.5513,98.39,92.4523,99.8263,100.3003
1015.338,97.2646,98.096,92.2917,99.7297,100.2811
1016.302,96.93,97.7465,92.1301,99.6238,100.2676
1017.266,96.5843,97.3709,91.9895,99.5177,100.2607
1018.231,96.2814,97.0158,91.8954,99.4235,100.2592
1019.195,96.0795,96.7371,91.8698,99.354,100.2608
1020.159,96.0266,96.587,91.9258,99.3204,100.2634
1021.123,96.146,96.6007,92.0626,99.3294,100.266
1022.088,96.4284,96.7853,92.2654,99.3811,100.2686
1023.052,96.8336,97.1175,92.5073,99.4681,100.2718
1024.016,97.3001,97.5481,92.7562,99.5769,100.2758
1024.98,97.7604,98.0142,92.9813,99.6909,100.2802
1025.944,98.1575,98.4539,93.1599,99.7944,100.2841
1026.909,98.4558,98.8206,93.2811,99.8763,100.2867
1027.873,98.6466,99.0905,93.3466,99.9317,100.2877
1028.837,98.7432,99.263,93.367,99.9625,100.2879
1029.801,98.7722,99.3553,93.3572,99.9745,100.2882
1030.766,98.7627,99.3923,93.3315,99.9748,100.2896
1031.73,98.7378,99.3975,93.2998,99.9687,100.2916
1032.694,98.7106,99.3875,93.2672,99.9592,100.2931
1033.658,98.6851,99.3706,93.2343,99.9463,100.2925
1034.623,98.6597,99.3494,93.2005,99.9295,100.2884
1035.587,98.6322,99.3238,93.165,99.9086,100.281
1036.551,98.6018,99.2947,93.1285,99.885,100.2717
1037.515,98.5703,99.2642,93.0924,99.8612,100.2624
1038.479,98.5406,99.2349,93.0584,99.8395,100.255
1039.444,98.5145,99.2085,93.027,99.8213,100.2501
1040.408,98.4917,99.1845,92.9972,99.8061,100.2468
1041.372,98.4697,99.1603,92.9671,99.7919,100.2435
1042.336,98.4454,99.1328,92.9348,99.7767,100.2389
1043.301,98.4164,99.1003,92.8995,99.7595,100.2325
1044.265,98.3826,99.0633,92.8618,99.7406,100.2251
1045.229,98.3457,99.0243,92.8232,99.722,100.2184
1046.193,98.308,98.9858,92.7854,99.7053,100.2135
1047.158,98.2712,98.9493,92.7487,99.6913,100.2107
1048.122,98.235,98.9141,92.7127,99.6793,100.209
1049.086,98.1973,98.8774,92.6755,99.6675,100.2066
1050.05,98.1553,98.8364,92.6357,99.6537,100.2021
1051.015,98.1071,98.7889,92.5923,99.6368,100.1948
1051.979,98.0525,98.7352,92.546,99.6173,100.1857
1052.943,97.9934,98.6769,92.498,99.5968,100.1762
1053.907,97.9327,98.6163,92.4497,99.5773,100.1675
1054.871,97.8733,98.5545,92.4018,99.5598,100.1598
1055.836,97.8166,98.4906,92.3536,99.544,100.152
1056.8,97.7625,98.4226,92.3037,99.5283,100.1421
1057.764,97.7097,98.3484,92.2507,99.5104,100.1284
1058.728,97.6571,98.2674,92.1938,99.4884,100.1098
1059.693,97.6046,98.1812,92.1335,99.4617,100.0863
1060.657,97.5533,98.0934,92.0712,99.4296,100.0576
1061.621,97.5054,98.0078,92.0085,99.3918,100.0231
1062.585,97.462,97.9271,91.9462,99.347,99.9801
1063.55,97.4228,97.8514,91.8839,99.2929,99.9253
1064.514,97.3854,97.7789,91.8205,99.2271,99.855
1065.478,97.3455,97.7065,91.7547,99.1482,99.7677
1066.442,97.2991,97.6315,91.6857,99.0575,99.6654
1067.406,97.2429,97.5526,91.6144,98.9593,99.5542
1068.371,97.1758,97.4694,91.5425,98.8606,99.4439
1069.335,97.0983,97.3815,91.4721,98.7695,99.3456
1070.299,97.0114,97.2873,91.4042,98.6928,99.2697
1071.263,96.915,97.1825,91.338,98.6347,99.2234
1072.228,96.8073,97.0603,91.2709,98.5958,99.2095
1073.192,96.6844,96.9108,91.1981,98.573,99.2265
1074.156,96.5412,96.7213,91.1142,98.5607,99.2691
1075.12,96.3714,96.4758,91.0132,98.5518,99.3299
1076.085,96.1685,96.154,90.8891,98.5383,99.4007
1077.049,95.9235,95.7317,90.7356,98.512,99.4741
1078.013,95.6243,95.184,90.5464,98.4639,99.5437
1078.977,95.2545,94.4916,90.3164,98.3853,99.6053
1079.942,94.7949,93.6499,90.0429,98.2683,99.6562
1080.906,94.2282,92.6783,89.7289,98.1079,99.696
1081.87,93.5468,91.6265,89.3855,97.9049,99.7257
1082.834,92.7609,90.5744,89.0337,97.6671,99.7474
1083.798,91.9066,89.6236,88.7038,97.4108,99.7629
1084.763,91.0473,88.8819,88.4326,97.1596,99.7739
1085.727,90.2693,88.4438,88.2579,96.9418,99.781
1086.691,89.6688,88.3715,88.2118,96.7857,99.7842
1087.655,89.334,88.6811,88.3135,96.7144,99.7831
1088.62,89.3257,89.3396,88.565,96.7411,99.7777
1089.584,89.6627,90.2717,88.9491,96.8663,99.7685
1090.548,90.3161,91.3758,89.4321,97.0771,99.7564
1091.512,91.2147,92.5424,89.9692,97.3497,99.7421
1092.477,92.259,93.6719,90.5116,97.6534,99.7258
1093.441,93.341,94.6863,91.0146,97.9563,99.707
1094.405,94.3636,95.5346,91.4434,98.2303,99.6843
1095.369,95.2561,96.193,91.7768,98.4555,99.656
1096.333,95.9806,96.6616,92.0089,98.6219,99.6207
1097.298,96.5315,96.9587,92.1469,98.7293,99.5776
1098.262,96.9263,97.1151,92.2071,98.7852,99.5268
1099.226,97.1942,97.1686,92.2105,98.8012,99.4691
1100.19,97.3656,97.1587,92.1775,98.7894,99.4054
1101.155,97.4656,97.1218,92.1253,98.7602,99.3365
1102.119,97.5119,97.0868,92.066,98.7205,99.2625
1103.083,97.518,97.0726,92.0062,98.6737,99.1826
1104.047,97.4957,97.0863,91.9486,98.6201,99.0944
1105.012,97.4585,97.1246,91.8926,98.5578,98.9937
1105.976,97.4206,97.1766,91.8366,98.4842,98.8758
1106.94,97.395,97.228,91.7787,98.3962,98.736
1107.904,97.3898,97.2655,91.7177,98.2927,98.5722
1108.869,97.4062,97.2804,91.6536,98.1751,98.3873
1109.833,97.4379,97.2703,91.5888,98.0494,98.1905
1110.797,97.4743,97.2392,91.527,97.9257,97.9984
1111.761,97.5037,97.1963,91.4737,97.8181,97.832
1112.725,97.5177,97.1533,91.4347,97.7416,97.7137
1113.69,97.5131,97.1215,91.4146,97.7095,97.6621
1114.654,97.4914,97.1092,91.4151,97.7295,97.6874
1115.618,97.4568,97.1198,91.4342,97.8021,97.7891
1116.582,97.4128,97.1508,91.4658,97.9195,97.9563
1117.547,97.3605,97.1945,91.5011,98.0676,98.1698
1118.511,97.2975,97.2391,91.5297,98.2293,98.4069
1119.475,97.2195,97.2713,91.5425,98.3877,98.646
